Sentences,Presidential_Candidate,State,Final_Sent,Predicted_Sent
And she was actually someone who like called him when he was dying.,Kamala Harris,Arizona,1,1
"Mm-hmm, and I have never- I met Vice President Harris once when she was a guest when I was still working at The View.",Kamala Harris,Arizona,0,0
I do not believe that he would have endorsed Vice President Harris for just- I'm going to give you two reasons that are easy for the radio.,Kamala Harris,Arizona,-1,-1
And I looked at a clip of vice president Harris today with Liz Cheney and Maria Shriver and they look miserable.,Kamala Harris,Arizona,-1,-1
Vice President Harris will be in Arizona on Friday.,Kamala Harris,Arizona,0,0
"And then when there seemed to be a big bunch of momentum for Vice President Harris, told the Harris supporters, you know, probably not.",Kamala Harris,Arizona,1,1
"I wouldn't rest easy, and they certainly aren't, as the Vice President is going to be in Arizona on Friday campaigning.",Kamala Harris,Arizona,0,-1
"Well, Vice President Harris got it.",Kamala Harris,Arizona,1,1
And I am up early walking Monty because I'm going to a Harris rally today.,Kamala Harris,Arizona,0,0
"They are committed to lowering costs, protecting our rights and ensuring that we all have an opportunity not just to get by, but to get ahead.",Kamala Harris,Arizona,1,1
"Our freedom and our future and the only way forward, the only way forward is to elect Kamala Harris as our next president.",Kamala Harris,Arizona,1,1
"The Harris campaign is all about getting high, big name celebrity sort of endorsers and, you know, making carefully crafted statements and speeches and public events that are meant to signal to this community that Harris would be better.",Kamala Harris,Arizona,1,1
"I wonder if Klitschko is going to get a call from the Harris campaign at some point, right: finally, interference.",Kamala Harris,Arizona,0,0
She said she's running as an underdog.,Kamala Harris,Arizona,0,-1
"Okay, but Arizona and again, you know, take it with a grain of salt, but she she leads plus three in Arizona.",Kamala Harris,Arizona,1,1
Kamala Harris finished up her speech in Glendale.,Kamala Harris,Arizona,0,0
"What were your impressions: well, I thought it was interesting and I thought that Kamala did a lot better than we all expected her to do.",Kamala Harris,Arizona,1,1
You should have taken a gun along with her records.,Kamala Harris,Arizona,-1,-1
Members of Latino group Lucha even meeting Sunday unanimously endorse Harris.,Kamala Harris,Arizona,1,1
Patino noting Harris's personal story is inspiring to younger voters of color.,Kamala Harris,Arizona,1,1
"They may not agree with all her policies and the things that she has done specifically around her prosecution record, but it's just that she's a woman of color and she has made it that far.",Kamala Harris,Arizona,1,1
Harris has said she would extend President Biden's executive actions that restrict asylum.,Kamala Harris,Arizona,0,0
She would ramp up prosecutions against those who cross the border illegally.,Kamala Harris,Arizona,0,0
It was great to have her there.,Kamala Harris,Arizona,1,1
"She got to meet with elected leaders, talk about these issues specifically and how it affects Arizona, the state of Arizona.",Kamala Harris,Arizona,0,0
"Hey, she's a prosecutor.",Kamala Harris,Arizona,0,0
"She's a border senator, a border attorney general.",Kamala Harris,Arizona,0,0
She knows how to handle these issues.,Kamala Harris,Arizona,1,1
"So, yeah, I mean, she's she's prepared on day one to deal with this issue.",Kamala Harris,Arizona,1,0
She said she would sign that legislation into into law.,Kamala Harris,Arizona,0,0
"That's not the situation here, i mean, she is trying to manage and will try to manage a situation at our southern border that often gets chaotic and can get to a crisis.",Kamala Harris,Arizona,1,-1
So she's committed to working on this issue.,Kamala Harris,Arizona,1,1
We had some productive conversations and she's ready to deal with this on day one.,Kamala Harris,Arizona,1,1
"Of course, the vice president also put a focus on that this week, saying she would raise corporate taxes to pay for her economic plans.",Kamala Harris,Arizona,0,0
"The nonpartisan tax foundation estimates that raising the corporate tax rate to 28 percent, which Harris has proposed, will cost jobs, reduce wages and hurt economic growth.",Kamala Harris,Arizona,1,1
Kamala Harris is focused on bringing down costs for Americans and American families on child care and health care on prescription drugs.,Kamala Harris,Arizona,1,1
She cares about families.,Kamala Harris,Arizona,1,1
"Kamala Harris certainly helps Democratic hopes to retain the White House, but how much does Harris help the hopes of Arizona Democrats: retiring politician Joe Biden's endorsement of hers certainly helped bring in the cold hard cash as she pointed out yesterday.",Kamala Harris,Arizona,1,1
One thing is sure that Harris campaign cash isn't going to trickle down to Arizona candidates.,Kamala Harris,Arizona,1,1
"But before we ask about that, let's explore whether Harris helps herself to our U.S. senator and drags Mark Kelly onto her ticket to run as vice president.",Kamala Harris,Arizona,0,0
"Long time Arizona political consultant, Stan Barnes tells us that Kelly does check a lot of boxes that Harris doesn't.",Kamala Harris,Arizona,-1,-1
"So I'll ask this, how does Harris help down ballot candidates in Arizona, does she bring more people to the polls and help Democratic candidate Ruben Gallego beat Republican Kerry Lake in our Senate race, does she help a Democrat defeat Republican David Schweikert in congressional district one, is Ruben Gallego more likely to want to campaign with her than he ever was with Biden: I mean, his desire to do so with Biden seemed to be at a zero.",Kamala Harris,Arizona,-1,-1
"Yeah, I don't think Harris helps much.",Kamala Harris,Arizona,-1,-1
"She did do a town hall last night, but not investing a ton of time in Arizona, Nevada.",Kamala Harris,Arizona,-1,-1
"I think that's a bit ridiculous, but like even the recent polls that have Harris up, it's very, very close.",Kamala Harris,Arizona,0,0
"And you can see, I mean, Harris was sitting plus one.",Kamala Harris,Arizona,1,1
We vote for Kamala.,Kamala Harris,Arizona,1,1
We've only had and remember this is the same Kamala who said she's not going to do anything different than Biden.,Kamala Harris,Arizona,-1,-1
Their problem is finding reasons to give people to support Kamala Harris.,Kamala Harris,Arizona,-1,-1
He said you just aren't feeling the idea of having a woman as president and you're coming up with other alternatives and reasons for that.,Kamala Harris,Arizona,-1,-1
"Watch that, Kamala Harris has never backed down from a challenge.",Kamala Harris,Arizona,1,1
She put cartel members and drug traffickers behind bars and she will secure our border.,Kamala Harris,Arizona,1,1
"Here's her plan, hire thousands more border agents, enforce the law and step up technology and stop fentanyl smuggling and human trafficking.",Kamala Harris,Arizona,0,1
Vice president getting herself on offense on the issue of immigration with a visit to the southern border is where we start today.,Kamala Harris,Arizona,0,0
"When you look at this and your endorsement of Vice President Harris, what is it that leads a Republican who represented Arizona for so long to endorse a Democrat for that office: well, one conservatives, and I'm a conservative Republican, not a moderate Republican, conservatives believe in the rule of law.",Kamala Harris,Arizona,1,1
"And like I say, I know Kamala Harris, I know Tim Walz.",Kamala Harris,Arizona,1,1
"They need to be supported, i wanna vote for a president who knows the difference, and Kamala Harris knows the difference there.",Kamala Harris,Arizona,1,1
And right now there's kind of a honeymoon period for Kamala Harris.,Kamala Harris,Arizona,0,0
"That shows Kamala Harris ahead by three points, again, within the margin of error.",Kamala Harris,Arizona,1,1
Democrats have a hard time defending what she's done over the last several years with this border portfolio she was given.,Kamala Harris,Arizona,-1,-1
"So Tim, let's talk a little bit about the border because she has taken probably some of the hardest hits on that issue, right: the president of the National Border Patrol Council went after her yesterday at an event in Chandler, Arizona.",Kamala Harris,Arizona,-1,-1
"And I think that's what's important, so Bram, Senator Mark Kelly obviously did not get the job as Harris this morning made, although a lot of people had a lot of reasons why they thought he should.",Kamala Harris,Arizona,0,0
"I'll add that among here, among organized Democrats, there was somewhat a sense of relief because if he had been elevated to the running mate job, if Kamala Harris won the election in November, there would have been an open seat in the Senate up for grabs in Arizona in 2026 in midterm election.",Kamala Harris,Arizona,0,1
Vice President Harris may visit the U.S.-Mexico border during her trip to Arizona on Friday.,Kamala Harris,Arizona,0,0
Kamala Harris is set to make her first border visit of her presidential run.,Kamala Harris,Arizona,0,0
In today's video we're going to take a look at Kamala Harris' visit down to the Arizona border to see if that will have an impact on the overall presidential outcome.,Kamala Harris,Arizona,0,0
"One thing to note, this is a stark change from the same poll in August when Harris led in both Arizona and North Carolina within the margin of error.",Kamala Harris,Arizona,0,0
Now with these polls taken into consideration Harris going down to visit Arizona.,Kamala Harris,Arizona,0,0
I've already filled out the states that are likely to vote for Kamala Harris.,Kamala Harris,Arizona,0,0
"Even though Kamala Harris is set to visit the border this Friday, I don't think it's going to have a huge impact on the state of Arizona.",Kamala Harris,Arizona,-1,-1
Kamala Harris seems to be pulling slightly ahead according to some polls.,Kamala Harris,Arizona,1,1
"And Kamala Harris is anti-fracking, even though recently she's come out and said that she isn't.",Kamala Harris,Arizona,-1,-1
Now to decision 2024 12 news can confirm local reports that vice president Kamala Harris will make a campaign stop next week on October 31st on Halloween.,Kamala Harris,Arizona,0,0
The reports claim Harris will be joined by Mexican music artist Los Tigres del Norte.,Kamala Harris,Arizona,0,0
This event is a part of her when we vote we win concert rallies.,Kamala Harris,Arizona,1,1
"Can't vouch for Pennsylvania and Michigan and those midwestern states, but in Arizona, I think the energy increased substantially when Joe Biden bowed out and Kamala Harris got in.",Kamala Harris,Arizona,1,1
"And so as Senator Mark Kelly, who was among the finalists, he was somebody people looked at as a military veteran who could help beef up that part of Kamala Harris resume.",Kamala Harris,Arizona,1,1
I don't think people will vote for Harris because of Governor Walz.,Kamala Harris,Arizona,-1,-1
I think people are really going to focus on Kamala Harris and Joe Biden and Kamala Harris still.,Kamala Harris,Arizona,1,1
They make fun of Harris for laughing.,Kamala Harris,Arizona,-1,-1
But Walz and Harris so far are happy.,Kamala Harris,Arizona,1,1
"They're smiling, they still are facing headwinds when it comes to the economy and it comes to the border.",Kamala Harris,Arizona,1,1
But they are at least happy people.,Kamala Harris,Arizona,1,1
"It was known, Kamala Harris is making a difference.",Kamala Harris,Arizona,1,1
So and also I do think Harris has some room to grow with women.,Kamala Harris,Arizona,1,1
"And so I think she actually has some room to grow with women, actually.",Kamala Harris,Arizona,1,1
And stay with us as we await Vice President Harris's visit to Arizona.,Kamala Harris,Arizona,0,1
"This result indicates that Harris could still have a path to victory in Arizona, depending on voter turnout and undecided voters.",Kamala Harris,Arizona,1,1
"With Vice President Harris visiting Douglas, people near the border are hoping to shine the spotlight on the most pressing needs for their communities.",Kamala Harris,Arizona,0,0
"ABC 15's Jane Caffrey has been talking with local leaders, and Jane, what do they consider most crucial in her visit: we'll have your Arts Immigration Policy, and that's something that VP Harris is expected to talk about at any minute now at a rally happening in Douglas.",Kamala Harris,Arizona,0,0
"And one concern we're hearing from people is that this is Harris's first visit to the border in three years and Javier, I know you recently spoke to people in Douglas for our 48 hours on the border project.",Kamala Harris,Arizona,0,0
"How do you think moving forward, Vice President Kamala Harris has visited Arizona many times in the last year, I believe it's five times that she's been here.",Kamala Harris,Arizona,0,0
"The last two times, I believe she was here last month of the month before in Tucson.",Kamala Harris,Arizona,0,0
She's also been in Flagstaff at NAU talking about education that the Biden administration has done as well.,Kamala Harris,Arizona,1,0
So clearly she has made Arizona a pivotal place to be.,Kamala Harris,Arizona,1,1
She has come here to focus largely on abortion.,Kamala Harris,Arizona,0,0
I will say I've seen her for those five times.,Kamala Harris,Arizona,0,0
"She is a very, very effective speaker.",Kamala Harris,Arizona,1,1
She has a way of connecting with audiences that is rare for a politician.,Kamala Harris,Arizona,1,1
"I'll also point out her husband, Douglas Emhoff, the second gentleman was just here on Friday.",Kamala Harris,Arizona,0,0
"She's been very effective here, and if you've been keeping track of these things, you know that our Senator Mark Kelly has been mentioned over the last several days as maybe not even not just a vice presidential contender, but a possible presidential contender today.",Kamala Harris,Arizona,1,1
He threw his support to Kamala Harris.,Kamala Harris,Arizona,1,1
I know what the people of Arizona are and the people of Arizona will put Tim Walz and Kamala Harris into the White House.,Kamala Harris,Arizona,1,1
I have known Kamala Harris for 16 years and she is the real deal.,Kamala Harris,Arizona,0,1
"That is who she is, she comes from a great family.",Kamala Harris,Arizona,1,1
They called her mommy.,Kamala Harris,Arizona,0,0
"And we are going to send her daughter, Kamala Harris, to the White House.",Kamala Harris,Arizona,1,1
Vice President Kamala Harris held her rally here at the Rawhide Event Center the day after early voting began here in Arizona.,Kamala Harris,Arizona,0,0
"This marking the third time the Democrat candidate for president has visited Battleground, Arizona since she moved to the top of the ticket.",Kamala Harris,Arizona,0,0
"It's not so much that we agree with her, but we simply cannot deal with a minimum of four more years of that.",Kamala Harris,Arizona,-1,-1
"In her half hour long address, Harris hammered home her plan to protect women's reproductive rights and encouraged voters to support Arizona's abortion ballot initiative.",Kamala Harris,Arizona,1,1
"On the economy, she said her plan involves $25,000 toward down payments for first time home buyers and a $6,000 tax credit to parents of newborns.",Kamala Harris,Arizona,1,-1
"And Harris' trip to Arizona continues on Friday, where she's expected to meet with 100 or 150 people from the group Arizona Republicans for Harris.",Kamala Harris,Arizona,0,0
"All kinds of traffic we're expecting this afternoon out in Glendale with Vice President Harris out there with her VP pick, Tim Walz.",Kamala Harris,Arizona,0,0
"Going to be very interesting to see what they get into, it's the, is it the sixth trip, is that right for Vice President Harris out here to the Valley but her first as the party's official nominee.",Kamala Harris,Arizona,0,1
"You know, I was, I knew about all of her visits because a mutual friend, well, a friend of my guy, his friend was the advance man for Kamala.",Kamala Harris,Arizona,0,0
"Kamala Harris, come to San Diego.",Kamala Harris,Arizona,0,0
"After doing whatever she could to make the problem worse at the southern border, Kamala Harris has now decided now that we are what about a month and some change away from the election.",Kamala Harris,Arizona,-1,-1
Kamala Harris has now decided to visit the southern border so she can do a little photo op and pretend you know like she actually cares about the issue.,Kamala Harris,Arizona,-1,-1
"Pretend like she's going to be able to fix the problem, a problem that she created, a problem that she plans on making worse if she's elected, but right now she has to pretend.",Kamala Harris,Arizona,-1,-1
She has to pretend and a lot of her followers will follow up right along with her.,Kamala Harris,Arizona,-1,-1
"Matter of fact, right now as we speak Kamala Harris's followers are praising her appearance and the boots she was wearing at the southern border.",Kamala Harris,Arizona,-1,-1
"That's what they're worried about, they're worried about her outfit.",Kamala Harris,Arizona,-1,-1
"They're not worried about the fact that criminals are pouring through the southern border, some of which are taking the lives of women and children all across America.",Kamala Harris,Arizona,-1,-1
"As she was doing this little photo op, the border patrol union started calling her out and putting her on blast on social media.",Kamala Harris,Arizona,-1,-1
"Here's one of their posts right here, vice President Harris has ignored the border problem she created for over three years.",Kamala Harris,Arizona,-1,-1
She goes down there for 20 minutes for a photo op and decides to repeat some of the things the NPBC has said before.,Kamala Harris,Arizona,-1,-1
"But again, where has she been the last three and a half years? And I think that's the question on all of our minds.",Kamala Harris,Arizona,-1,0
It just shows that she's not a genuine person at all.,Kamala Harris,Arizona,-1,-1
"Let's go forward and read another post, VP Harris asserted in Arizona that CBP needed more resources.",Kamala Harris,Arizona,0,0
Now they got to take someone like Kamala Harris and make her flip-flop drastically on everything that she's been about.,Kamala Harris,Arizona,-1,-1
Everything that she's preached about and all of her policies for years.,Kamala Harris,Arizona,0,0
And she's talking about building more of the border wall.,Kamala Harris,Arizona,0,0
"But I just overall thought this was hilarious watching the border patrol union literally call out Kamala Harris as she's at the border for like the first time ever, 38 days out from the election.",Kamala Harris,Arizona,-1,-1
"She is speaking right now, we want to play her unfiltered in her own words at a campaign event in Phoenix, Arizona.",Kamala Harris,Arizona,0,0
"She said to those protesters, quote, we all want this war to end and to get those hostages out.",Kamala Harris,Arizona,0,-1
"She said she'll work on it, quote, full time if she wins.",Kamala Harris,Arizona,0,0
"Number two, that her key priority is going to be lowering costs for Americans.",Kamala Harris,Arizona,1,1
"Selena Wang for us, Selena, thank you, wow, vice President Harris was there on that stage.",Kamala Harris,Arizona,0,1
"LeBron James has said that he will endorse Kamala Harris, vote Kamala Harris there at the bottom.",Kamala Harris,Arizona,1,1
Harris is the person you got to vote for because she is going to protect the things that we care about.,Kamala Harris,Arizona,1,1
Beyonce was certainly on that on one of Harris's last rallies.,Kamala Harris,Arizona,0,0
This is why you need to vote for Kamala Harris.,Kamala Harris,Arizona,1,1
"And she mentioned, hey, I'm a childless cat lady, nudge, nudge, wink, wink, which subtle shot at JD Vance.",Kamala Harris,Arizona,0,0
She played it a little more chill.,Kamala Harris,Arizona,1,0
So there's a fresh off the presses new poll that has come out that is showing that Kamala Harris is surging absolutely surging in the Sunbelt states now.,Kamala Harris,Arizona,1,1
"So it makes me feel better about the Sunbelt, but I think they should do well with the, you know, black voters and minorities in those states, and so she is completely surging in these states, and I think that North Carolina taking the lead is absolutely insane, and a five-point lead in Arizona is absolutely nuts.But super fascinating. See Kamala Harris surging in the Sunbelt, opening up a second path to victory.",Kamala Harris,Arizona,1,1
Vice President Kamala Harris's new ad is aimed at showing what she has in common with Latino voters here in Arizona and other battleground states.,Kamala Harris,Arizona,1,0
"Senator, last night, Vice President Harris gave her closing arguments.",Kamala Harris,Arizona,0,0
"Kamala Harris, she understands this issue.",Kamala Harris,Arizona,1,1
"She was a prosecutor, an attorney general.",Kamala Harris,Arizona,0,0
I first met her when she was working on gun violence and how it affected trying to get firearms away from domestic abusers who were criminals.,Kamala Harris,Arizona,0,0
She heard the cries of families getting their homes taken away by corrupt banks.,Kamala Harris,Arizona,1,1
"So how many people are there in Arizona alone who couldn't afford health insurance if we didn't have some limit on what people could be penalized for with pre-existing conditions: so if you care about that, you need to tell your neighbors this, they better vote for Kamala Harris.",Kamala Harris,Arizona,1,1
She wants to protect the $35 a week limit on insulin.,Kamala Harris,Arizona,1,1
"She wants to protect the $2,000 a year limit on out-of-pocket medical costs.",Kamala Harris,Arizona,1,1
And she wants to extend it to people who aren't old enough to be on Medicare but have limited means and need that help.,Kamala Harris,Arizona,1,1
"So we got this close race, and over here is Kamala Harris with what she calls a new way forward, practical solutions to the cost of living problems, practical solutions to energy and health care problems, a clear, proven way of dealing with a lot of our foreign policy crises.",Kamala Harris,Arizona,1,1
"I tried to tell Peter Alexander this on Friday when she was in Michigan because she had that comment about, you know, even Mike Pence was loyal to Donald Trump.",Donald Trump,Michigan,1,1
Michigan's only boomerang county that backed Obama then Trump then Biden.,Donald Trump,Michigan,0,1
"Okay, then what happened: and then I just felt like he did a good job.",Donald Trump,Michigan,1,1
I like the fact that he was not a politician.,Donald Trump,Michigan,1,1
Both friends are backing Trump.,Donald Trump,Michigan,1,1
I don't like him as a person.,Donald Trump,Michigan,-1,-1
But I think he's the best thing for the country.,Donald Trump,Michigan,1,1
How will you feel if Trump doesn't win: petrified.,Donald Trump,Michigan,-1,-1
You see Obama won Eaton County twice so did Trump.,Donald Trump,Michigan,1,1
But Trump's 2020 margin was less than 1 percent and when I say less than 1 percent I mean 499 votes.,Donald Trump,Michigan,0,0
I know Trump went down some very seemingly ridiculous rabbit holes about cats and everything else.,Donald Trump,Michigan,-1,-1
But that doesn't mean they don't still care about immigration and will not still continue to back Trump.,Donald Trump,Michigan,1,1
"He quickly solidified his position as the front-runner, consistently garnering strong support among Republican voters.",Donald Trump,Michigan,1,1
"Trump remains a strong force within his party, and the 538 forecast as of this morning shows him ahead with a 53-47 edge.",Donald Trump,Michigan,1,1
"While much of the media has painted a narrative favoring Donald Trump as the front-runner, recent high-quality polls tell a more nuanced story.",Donald Trump,Michigan,1,0
"If he can flip any of these states, particularly Pennsylvania or Michigan, it could change the entire trajectory of the election.",Donald Trump,Michigan,0,0
Donald Trump said the tariff hikes on the income tax cuts as better to support manufacturing.,Donald Trump,Michigan,0,-1
"Rather than any political considerations, running in 2016, Trump narrowly won Michigan as a whole.",Donald Trump,Michigan,1,1
"And so to set the scene for what it means in Michigan does go blue, it makes the pathway forward for Donald Trump a bit trickier as to how he wins the election.",Donald Trump,Michigan,-1,-1
"But a tied result is better than what again, the Republican Party and the mainstream press has been pushing is that Donald Trump is winning every battleground state.",Donald Trump,Michigan,1,1
"Because also too, what we saw was that the Donald Trump team started pulling some ad funding from the state of Michigan.",Donald Trump,Michigan,-1,-1
"Donald Trump will be in Michigan over the next two weeks, they'll be investing heavily into the state of Michigan.",Donald Trump,Michigan,1,1
"The most recent poll from Pennsylvania, the final one from Franklin and Marshall, they said that Donald Trump led by one point amongst likely voters in their final poll, amongst registered voters by four points.",Donald Trump,Michigan,1,1
"And the last poll that was conducted was the Detroit Free Press that showed Donald Trump with a seven point lead across the state of massive, massive improvement for the former president in the state.",Donald Trump,Michigan,1,1
"Although Rookler Politics has Donald Trump up in the average, they have yet to consider the Michigan State University poll.",Donald Trump,Michigan,0,0
"And the question remains, will Michigan hold blue as the polls are predicting, will it be a 2016 type of error where they end up going to Donald Trump, despite the preliminary data suggesting otherwise: so thank you guys so much for watching this video.",Donald Trump,Michigan,0,0
"So let's rewind to last night, obviously, President Trump speaking to those auto workers in Michigan, promising to keep manufacturing jobs stateside if he's elected in 2024.",Donald Trump,Michigan,1,1
"President Trump can say whatever he wants, but his record is really clear for workers here in Michigan.",Donald Trump,Michigan,1,0
"And President Trump can say whatever he wants, but we've seen his record that has been disastrous for the auto industry.",Donald Trump,Michigan,-1,-1
It's been a key demographic for him. It's been his base.,Donald Trump,Michigan,1,1
"It's actually moving slightly away, so you go back eight years ago, he won him by 33.",Donald Trump,Michigan,-1,-1
"All other groups, voters of color at 28 percent, so this is something that we've seen throughout the board, right, which is that Donald Trump is making huge gains with groups that make up a smaller percentage of the electorate while he's losing a little bit.",Donald Trump,Michigan,1,1
But these groups that he's losing a little bit of make up a much larger portion of the electorate.,Donald Trump,Michigan,-1,-1
Donald Trump won him by 25.,Donald Trump,Michigan,1,1
Donald Trump winning him by 22.,Donald Trump,Michigan,1,1
"Again, Trump is ahead, but his margins are smaller.",Donald Trump,Michigan,1,1
"And when you have a shrinking margin for Donald Trump among his core group that makes up the majority of voters, it can make up for big shifts among smaller groups of the electorate.",Donald Trump,Michigan,0,0
"Was Donald Trump's 39 minute spontaneous dance party the closest we are getting to an October surprise: as both campaigns enter the home stretch, there will be no big final debate.",Donald Trump,Michigan,0,1
He's nearly 80 years old.,Donald Trump,Michigan,-1,-1
"He's out there rambling, moving around, we'll give him a break.",Donald Trump,Michigan,-1,-1
"Quote, Trump suddenly seems not just lazy, weak by dodging another debate, for instance, and old, but also truly out of it.",Donald Trump,Michigan,-1,-1
"You know, he's still Trump, but he's you know, he's hanging out with McDonald's with real people, talking about stuff that real people like that.",Donald Trump,Michigan,1,1
"So just sort of counter to my own narrative, there's a reality out there that there are huge numbers of young men turning out for Trump and these Charlie Kirk campus rallies.",Donald Trump,Michigan,1,1
"They don't normally turn out, and I just don't think if they if they're not excited about Donald Trump before I don't know why they would be now.",Donald Trump,Michigan,-1,-1
"I think that Donald Trump would be a total disaster for our nation, and I cannot vote for him.",Donald Trump,Michigan,-1,-1
So what's at stake for women if Donald Trump is our president: i think it's bad news for women.,Donald Trump,Michigan,-1,-1
"Mr. Mayor, as you've seen amid all the discontent, the frustration with the Biden administration's policy in Israel and towards Gaza, we've seen the Trump team conducting a lot of outreach in Michigan.",Donald Trump,Michigan,1,1
"I can tell you that nobody who I have spoken with, even some of the conservative constituents that I represent, have also expressed great disdain for the Trump Vance ticket, because they understand what a Trump presidency represents.",Donald Trump,Michigan,-1,-1
"And so we very much understand what Trump represents as a president, and that is not something anybody wants to see this November.",Donald Trump,Michigan,-1,-1
"And if we go back to 2020, we see that Trump won that county 66%, total votes 85,123.",Donald Trump,Michigan,1,1
"And if we go back to 2020, Trump won this county 69% and total votes 99,585.",Donald Trump,Michigan,1,1
"If we go back to 2020, we see that Trump won that county by 71%, total votes 64,183.",Donald Trump,Michigan,1,1
"If we go back to 2020, we see that Trump won that county by 56%, total number there, 41,540.",Donald Trump,Michigan,1,1
"And if we go back to 2020, we see that Trump won by 67%, with a total number of 51,501 votes.",Donald Trump,Michigan,1,1
"If we go back to 2020, we see that Trump won that county by 53%, and total votes 37,956.",Donald Trump,Michigan,1,1
"If we go back to 2020, we see that Trump won that county by 62%, total votes 50,013.",Donald Trump,Michigan,1,1
"And Donald Trump's message about faith, family, and freedom, growing our economy, securing our borders, addressing skyrocketing inflation, these are the messages that are resounding with voters.",Donald Trump,Michigan,1,1
It's pretty hard to argue his record isn't one and one.,Donald Trump,Michigan,1,0
"Vance and Trump will let Michigan manufacturing's plants close, just like Trump did.",Donald Trump,Michigan,-1,1
They're gonna send us backwards.,Donald Trump,Michigan,-1,-1
"We can't go back, going back means cutting $500 million from the Lansing Grand River plant.",Donald Trump,Michigan,-1,-1
Don't let Trump and Vance throw it away.,Donald Trump,Michigan,-1,-1
I think yesterday broke the spell that so many people had about Donald Trump.,Donald Trump,Michigan,-1,-1
"Clearly his actions led to that, you know, what we, there's no great way to describe what happened yesterday, sedition.",Donald Trump,Michigan,-1,-1
You even said that he was clearly responsible for the acts of January 6th.,Donald Trump,Michigan,-1,-1
"But do you stand by any of the criticism that you had after 2020: Even Donald Trump said I was tough, but fair.",Donald Trump,Michigan,1,1
"As Trump was in Detroit earlier this month, he leveled this insult.",Donald Trump,Michigan,-1,-1
"$38,000 in median wage in Detroit, $68,000 out state, he said that the rest of the country would look like Detroit.",Donald Trump,Michigan,-1,-1
"You know, the Arab and Muslim community knows very well what a Trump presidency looks like.",Donald Trump,Michigan,-1,-1
He is a threat to our country.,Donald Trump,Michigan,-1,-1
He's a threat to our democracy.,Donald Trump,Michigan,-1,-1
"I think he's not just a disaster for Arab-Americans, but he's also a disaster for all Americans.",Donald Trump,Michigan,-1,-1
"Ali's family history is deeply tied to Michigan's labor unions, which are known for having a significant influence on the outcome of elections.",Donald Trump,Michigan,0,0
"And at the same time, I think Donald Trump would be disastrous for our country.",Donald Trump,Michigan,-1,-1
He only decided to take this job once he found out Trump was going to be president.,Donald Trump,Michigan,0,0
But you think they should support Trump more than they even have.,Donald Trump,Michigan,1,1
"Trump had a noticeable lead at the end of July, with margins ranging from 7% to 9%.",Donald Trump,Michigan,1,1
"Interestingly, Robert F. Kennedy Jr.'s endorsement of Trump doesn't seem to have significantly boosted Trump's standing in Michigan.",Donald Trump,Michigan,-1,-1
But now six of those eight forecasts show Trump slightly favored to win.,Donald Trump,Michigan,1,1
"How much of this is about winning over Trump supporters: you could vote for Trump, but also vote for a Democrat at the Senate level.",Donald Trump,Michigan,0,0
"And you know, Donald Trump, he's been essentially running for president for 10 years.",Donald Trump,Michigan,0,0
So it looks like Trump will have the best performance with black voters since 1960.,Donald Trump,Michigan,1,1
"Right now, Trump might get 50%.",Donald Trump,Michigan,0,0
He's right now pulling at close to 50% of the Hispanic vote.,Donald Trump,Michigan,0,0
"Despite the fact that media, the media business continuously trying to call him his anti-Hispanic, right? That's all they do.",Donald Trump,Michigan,-1,-1
He hates immigrants.,Donald Trump,Michigan,-1,-1
He hates Hispanics.,Donald Trump,Michigan,-1,-1
And that's why he might win close to 50% of the Hispanic vote.,Donald Trump,Michigan,1,1
"But right now, it is possible that Trump is gonna win 25% of the black vote.",Donald Trump,Michigan,1,1
They push this notion that maybe Trump is like this bad guy and stuff.,Donald Trump,Michigan,-1,-1
"And he could very well just be like a bad guy, but I'd be lying if, you know, like numbers don't lie.",Donald Trump,Michigan,-1,-1
"He's done a lot for, you know, like us, you know, under his administration.",Donald Trump,Michigan,1,1
I think Trump's gonna win this election.,Donald Trump,Michigan,1,1
"I don't see this turning around anytime soon, unless there's some kind of massive mistake that he makes, which is always possible.",Donald Trump,Michigan,1,1
I think Trump's gonna win.,Donald Trump,Michigan,1,1
But Donald Trump has been here multiple times.,Donald Trump,Michigan,0,0
"You keep trying to talk to people, have them understand that this is that Donald Trump.",Donald Trump,Michigan,0,0
One of the first things he did is to try to do a Muslim ban.,Donald Trump,Michigan,-1,-1
He talks about incarceration camps.,Donald Trump,Michigan,-1,0
"Donald Trump, defying all expectations and predictions, managed to flip them red, securing a crucial victory.",Donald Trump,Michigan,1,1
"Trump's presidency, marked by controversy and division, has left the country deeply polarized.",Donald Trump,Michigan,-1,-1
"His supporters see him as a disruptor, a fighter for the forgotten man.",Donald Trump,Michigan,1,1
His detractors view him as a threat to democratic norms and institutions.,Donald Trump,Michigan,-1,-1
Republican voters are increasingly expressing their concerns about Trump's leadership.,Donald Trump,Michigan,-1,-1
"This discontent is a powerful force, and it has the potential to swing the election against Trump.",Donald Trump,Michigan,-1,-1
"Section 11, the Long Game The 2024 election is more than just a referendum on Donald Trump, it's a battle for the future of the Republican Party.",Donald Trump,Michigan,1,1
They believe that Trump's brand of politics is unsustainable and ultimately damaging to the party's long-term prospects.,Donald Trump,Michigan,-1,-1
"If Trump wins, it will embolden his wing of the party.",Donald Trump,Michigan,1,1
"Donald Trump lost the electoral college by an aggregate of somewhere between 45 and 60,000 votes last time.",Donald Trump,Michigan,-1,-1
